f,s,c,ibrain,stage
0.0026634,0.0032582,0.0040792,2,46
0.0038819,0.0041256,0.0055289,2,46
0.013089,0.011291,0.018085,2,46
0.0065214,0.0073567,0.010211,2,46
0.0061169,0.0057239,0.0077543,2,46
0.0060701,0.0049604,0.0073253,2,46
0.0046911,0.0052265,0.0067648,2,46
0.0039483,0.0046317,0.0064172,2,46
0.0080974,0.0092456,0.010404,2,46
0.0019308,0.0019917,0.0028358,2,46
0.0045622,0.0039189,0.0052155,2,46
0.0026337,0.0035503,0.0044955,2,46
0.0051214,0.0083705,0.0098068,2,46
0.0016044,0.0016811,0.002311,2,46
0.0074371,0.0078668,0.0097039,2,46
0.0054639,0.0055864,0.0082574,2,46
0.0035404,0.0045041,0.0054568,2,46
0.0046958,0.0052764,0.0065704,2,46
0.0073806,0.0082081,0.013214,2,46
0.0039865,0.0050827,0.0064241,2,46
0.010482,0.011636,0.015327,2,46
0.0046753,0.0066533,0.0083164,2,46
0.0065661,0.010012,0.01117,2,46
0.015105,0.019966,0.023452,3,46
0.0048158,0.019573,0.01568,3,46
0.0074508,0.014295,0.015895,3,46
0.0064219,0.018564,0.024413,3,46
0.0043228,0.0047408,0.0055574,3,46
0.0082094,0.021836,0.018891,3,46
0.0094405,0.0175,0.019269,3,46
0.0038278,0.0036117,0.0047454,3,46
0.0053593,0.0074847,0.0073233,3,46
0.0085654,0.015645,0.015149,3,46
0.0057383,0.006778,0.0066336,3,46
0.0022548,0.0023329,0.0034241,3,46
0.0022532,0.0033712,0.0039694,3,46
0.0062718,0.014049,0.012509,3,46
0.0068811,0.014818,0.014835,3,46
0.0041965,0.016038,0.013562,3,46
0.0028804,0.0041387,0.0046398,3,46
0.0031076,0.0041476,0.004157,3,46
0.0058301,0.0053604,0.0066583,3,46
0.0023015,0.0027133,0.00341,3,46
0.0022106,0.0027845,0.0035102,3,46
0.0029875,0.0035127,0.0043543,3,46
0.0025984,0.0038668,0.0054332,3,46
0.0030304,0.0031313,0.0035549,3,46
0.0020723,0.0047807,0.0048695,3,46
0.0021763,0.0030443,0.004084,3,46
0.0023168,0.0028698,0.0037423,3,46
0.0040877,0.011577,0.011386,3,46
0.0039361,0.0078297,0.0095288,3,46
0.0028451,0.011241,0.012223,3,46
0.0045383,0.010435,0.010332,3,46
0.0046342,0.010091,0.012478,3,46
0.0074593,0.014716,0.017592,3,46
0.0037892,0.0046934,0.0053556,3,46
0.0034559,0.0041375,0.005091,3,46
0.0088505,0.0091861,0.01485,3,46
0.007859,0.013557,0.016079,3,46
0.0048366,0.010151,0.012673,3,46
0.003508,0.007286,0.010276,3,46
0.004362,0.0050559,0.0059113,3,46
0.0055451,0.0079023,0.0089951,3,46
0.0040066,0.005686,0.0065874,3,46
0.0052292,0.0060116,0.0082011,3,46
0.0044513,0.0049261,0.0053944,3,46
0.0034459,0.0037762,0.0046544,3,46
0.0066429,0.0092536,0.010821,3,46
0.0071533,0.010105,0.0097037,3,46
0.004478,0.007468,0.0093738,3,46
0.004579,0.007591,0.0096818,3,46
0.0038317,0.0072309,0.0061613,3,46
0.0032978,0.0043168,0.0052932,3,46
0.0039269,0.0091141,0.010488,3,46
0.0058172,0.0061286,0.0083468,3,46
0.0069608,0.011421,0.013381,3,46
0.0051132,0.0071744,0.0078764,3,46
0.003772,0.0044832,0.0077807,3,46
0.0019527,0.0021324,0.0029245,3,46
0.0020419,0.002132,0.002996,3,46
0.0021898,0.0023413,0.0035581,3,46
0.0038175,0.0038908,0.0041479,3,46
0.0027429,0.0025323,0.0029396,3,46
0.0070708,0.011965,0.012513,3,46
0.0036238,0.0046045,0.0056,3,46
0.0041937,0.0060857,0.0069288,3,46
0.0033194,0.0037857,0.0043181,3,46
0.0024469,0.0030508,0.0035157,3,46
0.0033762,0.0049188,0.0051679,3,46
0.0037752,0.0047138,0.005808,3,46
0.0046898,0.010031,0.0084368,3,46
0.0042774,0.0079446,0.0082333,3,46
0.0062994,0.0072115,0.0076963,3,46
0.0079069,0.0086064,0.013009,3,46
0.0096627,0.018241,0.019495,3,46
0.0037263,0.0046587,0.0048016,3,46
0.0031083,0.0043135,0.0043818,3,46
0.0055489,0.0053823,0.0067189,3,46
0.0061261,0.0060078,0.0072423,3,46
0.0035191,0.0048124,0.004311,3,46
0.003492,0.003532,0.0046271,3,46
0.015765,0.010452,0.018713,3,46
0.0053371,0.009843,0.010551,3,46
0.001848,0.0021231,0.002651,3,46
0.0017697,0.0019096,0.0021884,3,46
0.001872,0.0016928,0.0020287,3,46
0.0023912,0.0030384,0.0030514,3,46
0.0076718,0.007868,0.012208,3,46
0.0031297,0.0056882,0.0057441,3,46
0.0024601,0.0025428,0.0032552,3,46
0.0019146,0.0017083,0.0020963,3,46
0.0016732,0.0023184,0.0025935,3,46
0.0030148,0.0047754,0.0051713,3,46
0.0020039,0.0023414,0.0025563,3,46
0.0030494,0.0037626,0.0039601,3,46
0.0031818,0.0035049,0.0051416,3,46
0.0051623,0.0069099,0.0086958,3,46
0.0043196,0.005312,0.0072859,3,46
0.0044458,0.0051794,0.0050616,3,46
0.0029616,0.0035505,0.0040464,3,46
0.0042398,0.0056685,0.0056476,3,46
0.0021816,0.0023144,0.0029954,3,46
0.0025905,0.0028714,0.0037935,3,46
0.002836,0.004449,0.0052691,3,46
0.0037961,0.0053994,0.0049038,3,46
0.0030253,0.0037194,0.004065,3,46
0.0090305,0.011829,0.014846,3,46
0.0028113,0.0037827,0.0046182,3,46
0.003099,0.0039589,0.0052483,3,46
0.0038629,0.0037415,0.0047786,3,46
0.0040583,0.0045689,0.0043765,3,46
0.0019234,0.0019144,0.0021898,3,46
0.0025629,0.0038223,0.0048551,3,46
0.002048,0.0022011,0.0030469,3,46
0.0017576,0.0021919,0.0025945,3,46
0.0054597,0.009624,0.010524,3,46
0.0028938,0.0062121,0.0078324,3,46
0.0065699,0.0079346,0.010686,3,46
0.0020943,0.0023195,0.0025006,3,46
0.0017508,0.0015226,0.0021979,3,46
0.0041559,0.005934,0.0054395,3,46
0.0023438,0.0028145,0.0032885,3,46
0.0026387,0.0038994,0.0045208,3,46
0.0040648,0.0073544,0.0084282,3,46
0.0034734,0.0054327,0.0060831,3,46
