nexp, ncell, selFC, selSC, indegree, oudegree, katz, revkatz, clust, spiking, insel
3,44,0.35875,0.18408,0.06671,0,0.12703,0.1,0,0.0049239,0.010899
3,46,0.64484,0.19029,0,0.030248,0.1,0.10902,0,0.0089058,0
3,47,0.4652,-0.057192,0.04403,0.032822,0.1229,0.10981,0,0.0089875,0.025117
3,51,0.64292,0.25893,0.13756,0.031079,0.15601,0.10908,0,0.0043026,0.08335
3,53,0.41719,0.35483,0.024859,0.033253,0.10867,0.11368,0,0.0067642,0.015077
3,54,1.2164,0.26908,0.031821,0.033948,0.11732,0.11008,0,0.010588,0.068042
3,55,0.74704,0.17495,0,0.065429,0.1,0.12034,0,0.0067213,0
3,57,0.68098,0.55949,0.033566,0,0.11807,0.1,0,0.0023366,0.018255
3,58,0.66916,0.60014,0,0.03086,0.1,0.10963,0,0.00239,0
3,59,0.64332,0.55444,0.027128,0,0.10946,0.1,0,0.0026964,0.0098186
3,61,0.090205,0.27257,0.055835,0.062801,0.12157,0.11991,0,0.0027383,0.047417
3,62,0.77504,0.067874,0.099691,0,0.14276,0.1,0.0047223,0.010516,0.15277
3,63,0.79483,0.34192,0.059747,0.063005,0.12562,0.1236,0,0.0046094,0.073767
3,64,0.83197,0.23583,0.07902,0.067213,0.14485,0.12373,0.0058918,0.005736,0.15435
3,68,0.78393,0.39662,0.025187,0.032834,0.11358,0.10971,0,0.0047657,0.033678
3,69,1.2019,-0.37417,0,0.023774,0.1,0.1063,0,0.0077192,0
3,70,1.1889,0.064594,0.097837,0.078192,0.14453,0.1276,0.0035351,0.0068185,0.15738
3,71,0.31005,0.097591,0,0.027671,0.1,0.11181,0,0.0070691,0
3,72,0.81753,0.71695,0.026967,0,0.11452,0.1,0,0.0098409,0.014666
3,73,1.1687,0.13316,0.11851,0.19338,0.15281,0.163,0.00091192,0.015799,0.11594
3,75,0.61426,0.023737,0,0.038079,0.1,0.11009,0,0.0039345,0
3,77,0.23872,0.24126,0.038079,0,0.11328,0.1,0,0.0064587,0.02339
3,80,0.27953,0.70159,0.030248,0.042479,0.11055,0.1126,0,0.014977,0.019505
3,81,1.3805,0.14977,0.17376,0.17714,0.17251,0.16107,0.0013621,0.0085769,0.13517
3,83,0.36194,0.20858,0,0.027128,0.1,0.10719,0,0.0019559,0
3,89,0.15712,0.39078,0.025542,0,0.10891,0.1,0,0.0019064,0.012562
3,90,0.75365,0.1865,0,0.026551,0.1,0.10703,0,0.002195,0
3,94,0.85554,0.72905,0.025882,0,0.1104,0.1,0,0.0039428,0.056033
3,95,0.90919,0.47165,0.13331,0.033681,0.15683,0.10892,0.0049384,0.0069226,0.16339
3,96,0.85796,0.59159,0.03312,0,0.11659,0.1,0,0.0056392,0.051131
3,102,0.91174,0.25393,0,0.061939,0.1,0.11715,0,0.0041847,0
