ibrain,stage,cellid,x,y,dist,lat,ac,af,as,selfc,selsc
1,46,148,444,132,410.12,708,0.0034111,0.0029874,0.0040109,0.23541,-0.30286
1,46,149,268,280,300.36,540,0.0099157,0.0075691,0.010769,0.46927,-0.134
1,46,150,412,364,465.69,636,0.0069356,0.0044516,0.0063908,0.65416,0.12774
1,46,151,180,444,382.98,336,0.0066872,0.0051171,0.0075552,0.47305,-0.24426
1,46,152,216,400,359.21,612,0.00772,0.0062315,0.0087557,0.46034,-0.27861
1,46,153,220,376,340.79,456,0.0083538,0.0061455,0.0087503,0.76048,-0.11292
1,46,154,128,416,339.59,456,0.0060799,0.0053774,0.0058915,0.26863,0.07866
1,46,155,196,160,174.9,336,0.0077644,0.0056132,0.011028,0.41674,-0.44528
1,46,156,92,356,272.71,408,0.0067325,0.0051913,0.0066928,0.84432,0.019347
1,46,157,68,120,44.412,216,0.011832,0.0086442,0.013775,0.86051,-0.40653
1,46,158,312,96,275.96,540,0.0035863,0.0032507,0.0044082,0.20881,-0.41337
1,46,159,476,220,458.94,1404,0.002712,0.0026697,0.0027744,0.034562,-0.05249
1,46,160,408,104,372.17,960,0.00277,0.0025953,0.0029139,0.15234,-0.11315
1,46,161,364,276,377.42,708,0.0039622,0.0033587,0.0042182,0.31872,-0.11997
1,46,162,300,344,366.9,468,0.0094444,0.0068556,0.01078,0.69528,-0.25887
1,46,163,96,236,158.66,252,0.011128,0.0090215,0.0089478,0.54487,0.64512
1,46,164,80,284,199.8,372,0.0077297,0.0050109,0.008582,1.2801,-0.30013
1,46,165,44,292,203.08,336,0.0078654,0.0054987,0.0079621,1.285,-0.043033
1,46,166,188,116,154.24,264,0.0066753,0.0056186,0.0075651,0.34727,-0.22325
1,46,167,164,160,146.23,336,0.0053881,0.0044499,0.0065441,0.47884,-0.4779
1,46,168,228,248,249.14,384,0.0056097,0.0040179,0.0065323,0.70638,-0.32539
1,46,169,132,276,210.08,444,0.0060303,0.0051084,0.0069319,0.4199,-0.33693
1,46,170,108,252,178.08,336,0.0090972,0.0064372,0.0088004,0.96435,0.10346
1,46,171,140,352,282.7,228,0.011019,0.0083124,0.012281,0.84391,-0.33704
1,46,172,124,380,303.91,648,0.0061158,0.0039678,0.0071189,0.9526,-0.33471
1,46,173,60,336,248.08,432,0.006526,0.0050315,0.0066884,0.72959,-0.073939
1,46,174,40,328,238.96,336,0.0099075,0.0069269,0.011223,1.4881,-0.44705
1,46,175,240,76,204.29,240,0.0064275,0.0058476,0.0077156,0.2179,-0.38738
1,46,176,240,136,209.2,360,0.01025,0.0072402,0.012498,0.59502,-0.29781
1,46,177,304,188,285.56,732,0.0052382,0.0046284,0.0056213,0.18661,-0.12292
1,46,178,316,232,314.26,480,0.0070731,0.0068199,0.009419,0.060446,-0.41034
1,46,179,332,128,298.42,696,0.0044816,0.0034017,0.0051943,0.44628,-0.2427
1,46,180,76,240,156.11,456,0.0094256,0.0075881,0.013207,0.52949,-0.88916
1,46,181,72,212,128.06,372,0.0063168,0.0044424,0.0078128,1.062,-0.69734
1,46,182,80,144,70.298,312,0.009857,0.006,0.011559,1.4575,-0.40579
1,46,183,360,60,325.17,756,0.0035284,0.0031454,0.0038415,0.20237,-0.16317
1,46,184,252,420,395.11,732,0.0058595,0.004716,0.0063928,0.43288,-0.18822
1,46,185,448,252,442.93,1068,0.0033438,0.0025956,0.0036121,0.40255,-0.13246
1,46,186,308,156,279.99,648,0.005205,0.0064522,0.0058408,-0.38848,-0.2089
1,46,187,448,276,452.31,756,0.0042154,0.0037782,0.0043534,0.14515,-0.052039
1,46,188,212,136,182.03,444,0.0083892,0.0062207,0.011833,0.58093,-0.54881
1,46,189,392,244,388.13,948,0.0046915,0.003223,0.0043656,0.42079,0.081344
1,46,190,368,240,364.58,684,0.0031884,0.0029433,0.0034541,0.15195,-0.16561
1,46,191,140,304,238.71,492,0.0061475,0.0048489,0.0069011,0.67092,-0.34339
1,46,192,244,212,241.5,324,0.0071699,0.0047049,0.0095524,0.81309,-0.56677
1,46,193,152,140,126.57,324,0.0056175,0.0046779,0.0065353,0.39174,-0.33314
1,46,194,112,144,93.668,336,0.0080726,0.0070634,0.0085524,0.28985,-0.12524
1,46,195,224,356,326.41,540,0.010837,0.0070986,0.011071,1.0168,-0.05229
1,46,196,316,392,412.42,336,0.0097466,0.007618,0.010483,0.45514,-0.12742
1,46,197,396,344,441.02,780,0.0058192,0.0038206,0.0060659,0.75361,-0.073833
1,46,198,232,292,282.04,384,0.010283,0.008196,0.011906,0.47306,-0.27629
1,46,199,404,212,387.87,492,0.0035899,0.0030711,0.0032682,0.21384,0.1357
1,46,200,144,328,262.15,732,0.008686,0.0067602,0.0095525,0.50244,-0.2094
1,46,201,288,420,415.88,672,0.0087271,0.0063561,0.0089819,0.53562,-0.049664
1,46,202,328,280,348.77,696,0.0072991,0.0063537,0.008282,0.14134,-0.17321
1,46,203,216,280,262.31,444,0.0092973,0.0063082,0.011667,0.78528,-0.43299
1,46,204,404,160,374.65,768,0.0031312,0.0027758,0.0034478,0.2528,-0.19641
1,46,205,376,180,351.83,696,0.0044512,0.0035284,0.0050024,0.31157,-0.17866
1,46,206,336,328,383.42,456,0.0065859,0.0048338,0.0072172,0.59444,-0.15966
2,46,1,156,156,176.57,324,0.030655,0.021211,0.02537,1.7473,0.95072
2,46,2,424,160,431.24,444,0.0079207,0.0057381,0.0057665,0.45458,0.44239
2,46,3,448,136,459.62,468,0.005587,0.004132,0.0044369,0.37035,0.26924
2,46,4,448,180,451.83,504,0.0027108,0.0020227,0.0024847,0.41304,0.12115
2,46,5,400,140,412,588,0.0037649,0.0025595,0.003557,0.57218,0.084669
2,46,6,360,100,385.8,432,0.0046165,0.0028291,0.0030757,0.68939,0.57071
2,46,7,180,92,232.21,336,0.024157,0.012726,0.018776,2.5881,1.0807
2,46,8,208,112,243.55,336,0.014109,0.011607,0.013029,0.66434,0.24776
2,46,9,264,116,291.12,264,0.015024,0.0093737,0.012987,1.4662,0.40963
2,46,10,356,316,364.29,336,0.015627,0.010554,0.013087,0.86352,0.42727
2,46,11,84,300,103.98,240,0.020605,0.019469,0.017841,0.15283,0.4001
2,46,12,72,196,83.713,240,0.020187,0.013039,0.016255,1.591,0.77773
2,46,13,204,436,283.79,336,0.014692,0.0097096,0.013526,2.0543,0.37506
2,46,14,208,328,226.35,228,0.014637,0.0083401,0.012901,2.3683,0.55607
2,46,15,188,284,193.38,300,0.0048423,0.0029327,0.0045583,1.1348,0.12546
2,46,16,28,256,32.905,348,0.0068258,0.0035262,0.005299,1.9207,0.75639
2,46,17,48,228,49.178,252,0.013682,0.0079826,0.010473,2.0369,0.97324
2,46,18,140,192,147.58,336,0.012875,0.0087482,0.010184,0.89513,0.56436
2,46,19,228,56,292.17,324,0.015821,0.012087,0.012017,0.8944,0.80514
2,46,20,424,244,424.03,348,0.013112,0.0086266,0.01235,0.7946,0.10087
2,46,21,396,268,397.08,468,0.01038,0.0069164,0.0097828,1.3358,0.21704
2,46,22,472,276,473.47,576,0.008636,0.0061303,0.0066047,0.49095,0.34279
2,46,23,464,244,464.03,348,0.0059304,0.0067619,0.0049398,-0.20239,0.25937
2,46,24,400,356,416.84,360,0.0049461,0.0030337,0.0038217,1.038,0.59232
2,46,25,468,372,486.61,708,0.0021362,0.0023239,0.0016994,-0.1915,0.76784
2,46,26,408,392,435.84,516,0.0032227,0.002112,0.0020002,0.81135,0.7502
2,46,27,316,356,337.06,336,0.0096585,0.0045438,0.0079265,2.687,0.68098
