file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801103834-slide-looming,looming,slide,3,original,1.2086,1.0758,1,1.8974,0.8207,0.97,0.487,0.49001,0.79012,1.2699,0.85387,0.42577,-0.00016128,0.794,-0.23403,-0.51502,0.11301,0.14556,-0.019375,0.10422,0.10068,0.59259,7.343e-05,0.22884,0.2578,-1.9762,-2.0022,0.1954,0.72414,0.057471,41,32,35,12,0.70926,0.58707,0.17406,0.086079,0.38799,0.0036039,0.041395,0.02737,2.9652e-05,0.031272,0.49388,0.09083,0.9089
180801103834-slide-looming,looming,slide,4,original,0.97613,1.0393,1,1.7214,0.72754,0.985,0.43106,0.46916,0.87654,0.98986,0.5026,0.34263,0.00013056,0.70498,-0.1872,-0.5947,-0.21038,-0.047677,-0.083673,-0.19687,0.059614,0.56863,-0.00056432,0.21041,0.2435,-1.9939,-2.0012,0.11364,0.80682,0.056818,41,30,38,17,1.6547,0.5072,0.030776,0.13765,0.4835,0.00053682,0.021511,0.037065,1.7273e-05,0.01242,0.28554,0.14409,0.91068
180801103834-slide-looming,looming,slide,5,original,0.89383,1.0263,1,1.6235,0.65703,0.965,0.41778,0.47065,0.88889,0.86268,0.35254,0.23663,-0.00013592,0.70044,-0.25949,-0.59093,-0.027604,0.025918,-0.14638,-0.11694,0.16646,0.53383,-0.0016874,0.19036,0.23852,-1.987,-1.9478,0.10227,0.81818,0.056818,42,30,39,14,1.0603,0.65119,0.83532,0.15448,0.52922,7.929e-05,0.046285,0.032798,1.4395e-05,0.0091538,0.32505,0.15408,0.92089
180801103842-slide-looming,looming,slide,1,original,0.39956,0.41287,0.8642,0.84697,0.45108,0.7,-0.027581,-0.05898,0.44444,0.30009,0.33498,0.83464,-0.00047925,1.0171,0.016129,-0.25437,-0.0497,-0.013491,-0.029688,-0.055915,-0.016524,NaN,-0.00017061,0.0079827,0.13409,-1.4477,-1.5594,0.52381,0.30952,0.071429,33,29,27,14,0.84761,0.66971,3.9327e-08,0.022922,0.029037,0.015866,0.010943,0.014107,0.030882,0.75302,0.24709,0.3783,0.78262
180801103842-slide-looming,looming,slide,2,original,1.1548,0.87142,0.95062,1.4461,0.51734,0.895,0.46235,0.43017,0.79012,0.91292,0.42113,0.66413,-3.897e-05,1.0083,0.065964,-0.42696,-0.082815,0.019145,-0.10883,-0.082209,-0.071141,1,-0.00019902,0.15385,0.20153,-1.9615,-1.9615,0.29885,0.57471,0.057471,35,30,28,19,0.91054,0.54393,0.38205,0.037272,0.098769,0.011923,0.0060596,0.0086279,4.247e-05,0.23416,0.38976,0.20809,0.87813
180801103842-slide-looming,looming,slide,3,original,1.1533,0.95921,0.93827,1.6747,0.73131,0.965,0.47468,0.45015,0.81481,1.0033,0.53446,0.36584,-0.00012751,0.8004,-0.22589,-0.65767,-0.031121,-0.21625,-0.018511,-0.1557,0.13963,0.63462,-0.00010305,0.21515,0.26623,-1.9746,-1.9848,0.13793,0.78161,0.057471,39,31,35,13,1.2577,0.56327,0.27615,0.088578,0.38592,0.0034911,0.025862,0.012735,3.3841e-05,0.035459,0.46251,0.063038,0.92068
180801103842-slide-looming,looming,slide,4,original,1.0324,1.0414,0.98765,1.8516,0.76471,0.955,0.43297,0.46109,0.83951,1.0827,0.63218,0.2342,7.126e-05,0.72562,-0.30806,-0.68256,-0.018942,-0.0033469,-0.044428,-0.092934,0.23288,0.48485,-0.0003355,0.22718,0.25191,-1.9939,-2.0012,0.11364,0.80682,0.056818,40,31,37,16,1.1876,0.5584,0.50903,0.13774,0.48811,0.00058553,0.044873,0.035954,2.6327e-05,0.01931,0.42012,0.2064,0.91477
180801103842-slide-looming,looming,slide,5,original,1.0027,1.0655,0.97531,1.9045,0.88564,0.955,0.45972,0.5011,0.87654,1.0783,0.63861,0.19842,0.00017922,0.72811,-0.25731,-0.53117,0.010871,-0.18892,0.12661,0.068899,0.30756,0.47154,0.0013179,0.21538,0.24839,-1.9254,-1.9647,0.056818,0.86364,0.056818,41,30,37,17,1.3531,0.52356,0.29977,0.15439,0.49608,9.507e-05,0.032354,0.033747,4.0522e-05,0.026284,0.37031,0.32192,0.91754
180801103850-slide-looming,looming,slide,1,original,0.47366,0.51263,0.91358,0.9699,0.47418,0.695,-0.010617,-0.01716,0.53086,0.36036,0.34661,0.76345,-0.0010209,1.014,0.049143,0.095321,0.01105,-0.092498,0.067117,0.0059264,-0.00093095,NaN,0.00028892,0.013982,0.11718,-1.5626,-1.5571,0.47619,0.36905,0.071429,29,27,26,18,0.84319,0.6367,1.9238e-07,0.023012,0.027694,0.015834,0.011238,0.012817,0.025384,0.7496,0.022764,0.56871,0.74419
180801103850-slide-looming,looming,slide,2,original,0.86641,0.77426,0.95062,1.3927,0.6427,0.835,0.26775,0.2918,0.76543,0.74618,0.40702,0.6205,0.00011771,1.0215,0.12089,-0.48828,0.15356,-0.10968,0.097551,0.10446,-0.036616,0.75,0.00036868,0.12976,0.16178,-1.9493,-1.9615,0.31034,0.56322,0.057471,29,25,28,14,0.83092,0.59856,0.061842,0.037235,0.12188,0.011724,0.019718,0.015399,4.4261e-05,0.22322,0.023573,0.44785,0.86248
