file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801104547-slide-rand,rand,slide,5,original,0.5808,0.623,0.97531,1.1315,0.54672,0.82,0.085423,0.088554,0.64198,0.3799,0.33052,0.41861,0.00010543,1.0049,0.069192,-0.49376,-0.050468,-0.069165,0.092217,-0.09159,0.074794,0.48193,0.00036636,-1.9994,-2.0015,0.17045,0.75,0.056818,41,30,40,13,0.88912,0.61911,0.66237,0.12043,0.40913,0.0014137,0.015894,0.05208,0.00015599,0.13222,0.22292,0.40878,0.80799
180801104554-slide-rand,rand,slide,1,original,0.46786,0.53832,0.91358,1.1512,0.64561,0.75,0.029984,0.051116,0.60494,0.43746,0.36271,0.76471,0.00082567,1.015,0.14717,0.06303,0.025404,-0.0093886,0.040956,0.028008,-0.020557,NaN,0.0001033,-1.5756,-1.6373,0.5119,0.33333,0.071429,27,26,24,15,0.83603,0.64254,4.1322e-08,0.023034,0.029151,0.015726,0.012563,0.014869,0.025096,0.74157,0.019742,0.59628,0.74915
180801104554-slide-rand,rand,slide,2,original,0.65869,0.66216,0.92593,1.2511,0.59682,0.79,0.046415,0.051396,0.60494,0.47576,0.3887,0.76904,0.00014787,1.0146,-0.0031426,-0.40491,0.15373,0.11091,0.1051,0.13688,-0.0094526,NaN,0.00014403,-1.9715,-1.8873,0.28736,0.58621,0.057471,33,29,27,17,0.88213,0.56067,0.031399,0.033304,0.073508,0.013408,0.017495,0.0075551,0.0006729,0.63121,0.1613,0.49366,0.78495
180801104554-slide-rand,rand,slide,3,original,0.7262,0.71172,0.95062,1.2754,0.63667,0.81,0.053669,0.055733,0.60494,0.48177,0.40388,0.57798,9.3949e-05,1.0199,-0.028906,-0.74858,0.10143,0.072293,0.01104,0.064398,-0.028893,0.28571,2.7888e-05,-1.9754,-1.9652,0.25287,0.65517,0.057471,37,30,31,18,0.95133,0.56068,0.72888,0.055917,0.19293,0.0087088,0.039505,0.032694,0.00010604,0.34941,0.17454,0.44667,0.80777
180801104554-slide-rand,rand,slide,4,original,0.56356,0.56894,0.93827,1.1464,0.60528,0.785,0.027643,0.020348,0.50617,0.43826,0.42391,0.32251,-2.0629e-05,1.0203,-0.008762,-0.71895,0.056558,0.040056,0.063139,0.072993,0.027158,0.40426,0.00023157,-1.9994,-1.9959,0.17045,0.75,0.056818,41,31,36,15,1.0796,0.61967,0.72331,0.087036,0.38037,0.0040231,0.048372,0.039954,0.00024537,0.29283,0.326,0.30979,0.82038
180801104554-slide-rand,rand,slide,5,original,0.51364,0.55291,0.96296,1.1038,0.54902,0.79,0.034341,0.032907,0.53086,0.35814,0.32146,0.15807,-5.8836e-06,1.0286,-0.10025,-0.63532,0.16092,0.27633,0.039065,0.17221,0.092957,0.46154,0.00016438,-2.0022,-2.0015,0.14773,0.77273,0.056818,42,30,39,13,1.2552,0.66071,0.31783,0.11444,0.45122,0.0015555,0.038837,0.026947,0.00033209,0.28698,0.22187,0.1878,0.79936
180801104601-slide-rand,rand,slide,1,original,0.55133,0.59735,0.90123,1.3143,0.72819,0.725,-0.016733,-0.027457,0.46914,0.40617,0.42997,0.79849,-0.00057244,1.0145,-0.15651,0.14769,-0.12213,-0.024172,-0.078218,-0.12735,-0.019306,NaN,-0.00023854,-1.5517,-1.5752,0.44578,0.44578,0.072289,33,29,28,10,0.91777,0.72894,0.0006669,0.02297,0.026257,0.015818,0.0091298,0.013501,0.028089,0.74488,0.096032,0.47977,0.82617
180801104601-slide-rand,rand,slide,2,original,0.44649,0.49227,0.92593,1.033,0.57968,0.75,0.020315,0.02134,0.54321,0.3947,0.3515,0.77671,-0.00022809,1.0159,-0.11943,-0.47509,0.0047967,-0.018371,0.020087,0.010693,-0.0013727,NaN,2.0892e-05,-1.934,-1.9493,0.2907,0.61628,0.05814,35,30,29,12,0.86736,0.69038,0.004608,0.033221,0.072658,0.013457,0.0099953,0.0063981,0.00052656,0.63524,0.1198,0.50094,0.78509
180801104601-slide-rand,rand,slide,3,original,0.71034,0.69583,0.93827,1.3331,0.74995,0.76,-0.021848,-0.03226,0.44444,0.44168,0.4761,0.68668,-0.00012495,0.99833,-0.084348,-0.68217,-0.080265,0.03413,-0.10954,-0.064484,-0.04276,0.090909,-0.0001493,-2.0023,-1.9291,0.22989,0.66667,0.057471,39,31,34,18,0.70234,0.60692,0.018366,0.055252,0.17893,0.0089597,0.011327,0.0090581,0.00010234,0.37356,0.17068,0.44181,0.81976
180801104601-slide-rand,rand,slide,4,original,0.57357,0.60265,0.95062,1.3425,0.80225,0.76,-0.016214,-0.019547,0.41975,0.36278,0.38328,0.51826,5.4182e-06,0.99234,0.032061,-0.48887,-0.16447,-0.075215,-0.040546,-0.079013,-0.041172,0.5102,-0.00014716,-1.991,-1.9913,0.19318,0.72727,0.056818,40,30,38,19,0.69018,0.55034,0.17895,0.086895,0.34137,0.0042668,0.022334,0.032249,0.00010743,0.14142,0.069199,0.45766,0.81797
